Car Brand,Car Price,Miles,Trim,Engine,VIN,Transmission,Drivetrain,Exterior Color,Interior Color,Mileage,Stock #,Condition,Body Style,Fuel Type,Gas Mileage,Cabin,Bed,Rear Wheel
2020 Chevrolet Silverado 1500 LT,"$45,629
est. $658/mo","1 Miles
Fridley, MN",LT,5.3L V8,1GCUYDED7LZ334474,Automatic,4WD,Black,Jet Black w/Cloth Seat Trim,1,53276,New,Pickup_truck,,,,,
2017 Hyundai Sonata SE,"$13,100
est. $189/mo","37,431 Miles
Burnsville, MN",SE,4 Cylinder,5NPE24AF9HH527429,Automatic,FWD,Symphony Silver,Gray,,41619,Used,,Gasoline,25 city / 36 hwy,,,
2017 Ford Focus SE,"$13,599
est. $196/mo","26,205 Miles
Saint Paul, MN",SE,1.0L,1FADP3FE6HL266916,Automatic,FWD,Gray,Black,"26,205",,Used,Sedan,Gasoline,,,,
2019 Chevrolet Suburban LT 1500,"$45,300
est. $653/mo","19,875 Miles
Burnsville, MN",LT 1500,8 Cylinder,1GNSKHKC6KR331597,Automatic,4WD,Silver Ice Metallic,Jet Black,,41606,Used,,Gasoline,14 city / 21 hwy,,,
2019 Volkswagen Jetta 1.4T S ULEV,"$13,397
est. $193/mo","40,549 Miles
Saint Paul, MN",1.4T S ULEV,4 Cylinder Engine,3VWCB7BU4KM145717,Automatic,FWD,,,"40,549",,Used,Sedan,Gasoline,30 city / 40 hwy,,,
2020 Mitsubishi Outlander ES,"$23,235
est. $335/mo","10 Miles
Saint Paul, MN",ES,,JA4AZ3A33LZ012061,Automatic,AWD,Labrador Black Metallic,BLACK,10,93937,New,Suv,,,,,
2020 Mercedes-Benz E-Class E 350,"$65,615
est. $946/mo","Mileage Unknown
Minnetonka, MN",E 350,,W1KZF8EB7LA833118,Automatic,AWD,Obsidian Black Metallic,Black,,74451,New,Sedan,,,,,
2018 Toyota Yaris iA Base,"$11,489
est. $166/mo","43,766 Miles
Burnsville, MN",Base,4 Cylinder,3MYDLBYV2JY318151,Automatic,FWD,Gray,Black,,41457,Used,,Gasoline,32 city / 40 hwy,,,
2017 Mitsubishi Outlander Sport ES,"$14,998
est. $216/mo","26,666 Miles
Minneapolis, MN",ES,2.0L,JA4AP3AU3HZ052033,Automatic,FWD,Black,Black,,19328956,Used,,Gasoline,24 city / 30 hwy,,,
2020 Mitsubishi Outlander Sport ES 2.0,"$18,999
est. $274/mo","3 Miles
Saint Paul, MN",ES 2.0,,JA4AP3AU0LU030836,Automatic,FWD,Pearl White,BLACK,3,96001,New,Suv,,,,,
2019 GMC Terrain SLT,"$22,998
est. $331/mo","37,361 Miles
Brooklyn Park, MN",SLT,1.5L,3GKALVEV1KL213921,Automatic,4WD,White,Black,,19359381,Used,,Gasoline,24 city / 28 hwy,,,
2020 GMC Terrain SLT,"$25,190
est. $363/mo","12,102 Miles
Burnsville, MN",SLT,4 Cylinder,3GKALVEV3LL234352,Automatic,4WD,Ebony Twilight Metallic,Jet Black,,41508,Used,,Gasoline,25 city / 28 hwy,,,
2014 Mitsubishi Mirage,"$9,496
est. $137/mo","75,213 Miles
Saint Paul, MN",,,ML32A4HJ0EH026037,Automatic,FWD,Infrared,BLACK,"75,213",W95627A,Used,Hatchback,,,,,
2013 Acura TL Base,"$14,599
est. $210/mo","86,481 Miles
Maplewood, MN",Base,3.5L,19UUA8F2XDA001373,Automatic,FWD,Black,Tan,,18781466,Used,,Gasoline,20 city / 29 hwy,,,
2019 Ford Explorer XLT,"$30,990
est. $447/mo","29,098 Miles
Forest Lake, MN",XLT,2.3L I4 EcoBoost,1FM5K8DH7KGA53721,Automatic,AWD,Oxford White,Ebony Black,"29,098",CP15876,Used,Suv,,,,,
2018 Toyota Corolla LE,"$12,700
est. $183/mo","42,512 Miles
Burnsville, MN",LE,4 Cylinder,5YFBURHEXJP830946,Automatic,FWD,Gray,Black,,40572,Used,,Gasoline,28 city / 35 hwy,,,
2019 Toyota Corolla LE,"$14,397
est. $208/mo","27,349 Miles
Saint Paul, MN",LE,4 Cylinder Engine,5YFBURHE6KP928213,Automatic,FWD,,Ash,"27,349",,Used,Sedan,Gasoline,28 city / 35 hwy,,,
